key_id,season_id,season,tier,division,subdivision,winner,count_teams
403,S-2014-4,2014,4,League Two,None,Burton Albion,24
404,S-2015-1,2015,1,Premier League,None,Leicester City,20
405,S-2015-2,2015,2,Championship,None,Burnley,24
406,S-2015-3,2015,3,League One,None,Wigan Athletic,24
407,S-2015-4,2015,4,League Two,None,Northampton Town,24
408,S-2016-1,2016,1,Premier League,None,Chelsea,20
409,S-2016-2,2016,2,Championship,None,Newcastle United,24
410,S-2016-3,2016,3,League One,None,Sheffield United,24
411,S-2016-4,2016,4,League Two,None,Portsmouth,24
412,S-2017-1,2017,1,Premier League,None,Manchester City,20
413,S-2017-2,2017,2,Championship,None,Wolverhampton Wanderers,24
414,S-2017-3,2017,3,League One,None,Wigan Athletic,24
415,S-2017-4,2017,4,League Two,None,Accrington Stanley,24
416,S-2018-1,2018,1,Premier League,None,Manchester City,20
417,S-2018-2,2018,2,Championship,None,Norwich City,24
418,S-2018-3,2018,3,League One,None,Luton Town,24
419,S-2018-4,2018,4,League Two,None,Lincoln City,24
420,S-2019-1,2019,1,Premier League,None,Liverpool,20
421,S-2019-2,2019,2,Championship,None,Leeds United,24
422,S-2019-3,2019,3,League One,None,Coventry City,24
423,S-2019-4,2019,4,League Two,None,Swindon Town,24
424,S-2020-1,2020,1,Premier League,None,Manchester City,20
425,S-2020-2,2020,2,Championship,None,Norwich City,24
426,S-2020-3,2020,3,League One,None,Hull City,24
427,S-2020-4,2020,4,League Two,None,Cheltenham Town,24
428,S-2021-1,2021,1,Premier League,None,Manchester City,20
429,S-2021-2,2021,2,Championship,None,Fulham,24
430,S-2021-3,2021,3,League One,None,Wigan Athletic,24
431,S-2021-4,2021,4,League Two,None,Forest Green Rovers,24
